title_1|artist_1|album_1|row_number_1|fingerprint|title_2|artist_2|album_2|row_number_2|similarities|score
Alecrim|[unknown]|Cantigas de roda|4837|2512|[unknown] - Alecrim|nan|Cantigas de roda|15291|[40.68376394715325, 48.217794307737186, 14.88921600889713, 18.047534556238944, 95.92377960216338, 95.92377960216338]|0.8935152014868153
Alecrim|[unknown]|Cantigas de roda|4837|2512|Alecrim (Cantigas de roda)|[unknown]|Cantigas de roda|16795|[31.642927514452527, 33.903136622627706, 83.47011117784135, 83.47011117784135, 95.92377960216338, 95.92377960216338]|0.8611603103603848
[unknown] - Alecrim|nan|Cantigas de roda|15291|2512|Alecrim (Cantigas de roda)|[unknown]|Cantigas de roda|16795|[30.30650607245887, 49.859090635335555, 14.88921600889713, 18.047534556238944, 95.92377960216338, 95.92377960216338]|0.844515723551247
Bruce Maginnis - Sttreet Hype|nan|Groove City|6|2136|Street Hype|Brucqe Maginnis|Groove City|4121|[48.90582629007164, 51.57341681498463, 9.92614400593142, 9.92614400593142, 88.9196841637666, 88.9196841637666]|0.8650183393725686
Bruce Maginnis - Sttreet Hype|nan|Groove City|6|2136|StreetH ype (Groove City)|Bruce Maginnis|Groove City|13757|[36.750695961033834, 43.70353033204024, 10.828520733743368, 10.828520733743368, 88.9196841637666, 88.9196841637666]|0.7049718474532239
Bruce Maginnis - Sttreet Hype|nan|Groove City|6|2136|011-Street Hype|Bruce Maginnis|Groove City (2005)|14079|[52.261711239767486, 54.16213710303175, 10.828520733743368, 10.828520733743368, 67.57895996446263, 72.02494417265095]|0.5182622634076464
Street Hype|Brucqe Maginnis|Groove City|4121|2136|StreetH ype (Groove City)|Bruce Maginnis|Groove City|13757|[49.7950231317093, 47.127432606796305, 91.10142392535386, 91.10142392535386, 88.9196841637666, 88.9196841637666]|0.9383096724397747
Street Hype|Brucqe Maginnis|Groove City|4121|2136|011-Street Hype|Bruce Maginnis|Groove City (2005)|14079|[75.58173153920161, 75.58173153920161, 91.10142392535386, 91.10142392535386, 67.57895996446263, 72.02494417265095]|0.9655681650779109
StreetH ype (Groove City)|Bruce Maginnis|Groove City|13757|2136|011-Street Hype|Bruce Maginnis|Groove City (2005)|14079|[47.5106465816068, 44.660007786710395, 93.9189937374782, 93.9189937374782, 67.57895996446263, 72.02494417265095]|0.6055828884399999
Luce Dufault - Ballade Ã  donner|nan|Luce Dufault|7|6|009-Ballade a donner|Luce Dufault|Luce Dufault (1996)|2378|[60.86443038889848, 58.90106166667594, 5.865448730777657, 5.865448730777657, 70.01471759671524, 75.47040987697876]|0.7299643649616645
Just Like Tom Thumb's Blues (live)|Wendy Saddington|Blues Women Anthology, Volume 7|8|7|Wendy Saddington - Just Like Tom Thumb's Blues (live)|nan|Blues Women Anthology, Volume 7|7798|[77.91312553846811, 78.91201176332027, 14.438027644991156, 9.474955642025446, 99.79705693637044, 99.79705693637044]|0.9972250617215103
Just Like Tom Thumb's Blues (live)|Wendy Saddington|Blues Women Anthology, Volume 7|8|7|Just Like Tom Thumb's Blues (live) (Blues Women Anthology, Volume 7)|Wendy Saddington|Bleus  Anthlogy, Volume 7|15340|[66.9253770650944, 66.9253770650944, 95.92377960216338, 95.92377960216338, 85.42053655807865, 82.44075039907591]|0.98342491854414
Wendy Saddington - Just Like Tom Thumb's Blues (live)|nan|Blues Women Anthology, Volume 7|7798|7|Just Like Tom Thumb's Blues (live) (Blues Women Anthology, Volume 7)|Wendy Saddington|Bleus  Anthlogy, Volume 7|15340|[55.99860470345504, 63.99840537537718, 14.438027644991156, 9.474955642025446, 85.42053655807865, 82.44075039907591]|0.9104304553905086
Just Like Tom Thumb's Blues (live) (Blues Women Anthology, Volume 7)|Wendy Saddington|Bleus  Anthlogy, Volume 7|15340|7|Just Like Tom Thumb's Blues (live) - Blues Women Anthology, Volume 7|Wendy Saddington|nan|18581|[96.99987967197724, 99.999875950492, 95.92377960216338, 95.92377960216338, 3.1583185473418154, 6.767825458589604]|0.19789142803652993
Î£Ï„Î± ÎºÎ±Î¼Î­Î½Î±|Î›Î±Ï…ÏÎ­Î½Ï„Î·Ï‚ ÎœÎ±Ï‡Î±Î¹ÏÎ¯Î¯Ï„ÏƒÎ±Ï‚|Î£Ï…Î»Î»Î¿Î³Î® Î”Î¯Ï†Ï‰Î½Î¿, 22: ÎœÎ¿Ï…ÏƒÎ¹ÎºÎ¿Î¯ Î²Î¹ÏŒÏ„Î¿Ï€Î¿Î¹|9|6842|Î›Î±Ï…ÏÎ­Î½Ï„Î·Ï‚ ÎœÎ±Ï‡Î±Î¹ÏÎ¯Ï„ÏƒÎ±Ï‚ - Î£Ï„Î± ÎºÎ±Î¼Î­Î½Î±|nan|Î£Ï…Î»Î»Î¿Î³Î® Î”Î¯Ï†Ï‰Î½Î¿, 22: ÎœÎ¿Ï…ÏƒÎ¹ÎºÎ¿Î¯ Î²Î¹ÏŒÏ„Î¿Ï€Î¿Î¹|13195|[44.97094449461638, 0.0, 0.0, 0.0, 99.99981493988024, 99.99981493988024]|0.5425863344767056
